hey yog fans ! check out the latest news from yog reporter imiya shokoohi __url__ __hashtag__yog __hashtag__van2010 __hashtag__olympics,3
innsbruck __num__ launches new winter youth olympic games emblem __url__ __hashtag__youtholympics,2
"hi yog followers ! check out my latest news story __url__ __hashtag__yogreporter __hashtag__kimyia ( error : focus ? , sport )",3
"kimiya shokoohi , yog reporter -sponsors host local youngsters - __url__ __hashtag__youtholympics",2
vancouver meets 10-year-old reporter __url__ __hashtag__van2010 __hashtag__olympics,2
phelps becomes youth olympic games ambassador __url__ __hashtag__phelps __hashtag__youtholympics,2
check out the latest article from yog reporter kimiya shokoohi youngest athletes feel pressure-free __url__ __hashtag__yog,3
sochi 's time fast approaching __url__ __hashtag__olympics __hashtag__yog,2
"womens hockey : a hit by kimiya shokoohi , yog reporter . __url__ __hashtag__yog __hashtag__vancouver2010",2
athlete takes his turn with the microphone __url__ by yog reporter kimiya shokoohi __hashtag__yog __hashtag__olympics,2
medal design competitions grand prize winner __url__ __hashtag__yog __hashtag__singapore2010,2
hi yog followers ! ! check out this cool pic __url__ __hashtag__yog,3
singapore __num__ unveils journey of the youth olympic flame torch design __url__ __hashtag__yog __hashtag__singapore2010,2
ioc launches young ambassador programme for the youth olympic games __url__ __hashtag__singapore2010,2
ioc president praises preparations for first youth olympic games in singapore __url__ __hashtag__yog,2
hey yog followers ! olympic.org has a new face to the cube ... http : //bit.ly/drzfnr,3
ioc announces yelena isinbayeva as youth olympic games ambassador __url__ __hashtag__yog __hashtag__singapore2010,2
"hello , my name is patricia freitas , im the young ambassador from brazil __url__ __hashtag__youtholympics",3
"meet wang kan , chinas young ambassador for singapore 2010 ! __url__ __hashtag__yog",3
[ press release ] singapore celebrates 99-day countdown to first-ever youth olympic games __url__ __hashtag__singapore2010,2
"meet chivinn chum , cambodias young ambassador for singapore __num__ __url__ __hashtag__singapore2010 __hashtag__yog",3
share what u think is the spirit of the youth olympics and u could be an official ioc photgrapher in singapore __num__ __url__,3
ioc announces line-up of sport stars supporting the first youth olympic games __url__ __hashtag__singapore2010,2
social media connecting the world to the youth olympic games __url__ __hashtag__singapore2010,2
: - ) happy olympic day ! __hashtag__june23 __hashtag__olympics,4
[ press release ] usain bolt joins star-studded list of youth olympic games ambassadors __url__ __hashtag__singapore2010,2
[ press release ] the best of us challenge participant wins trip to inaugural youth olympic games __url__ __hashtag__singapore2010,2
at __num__ days to the first ever youth olympics check out this video of usain bolt __url__ __hashtag__singapore2010 __hashtag__youtholympics,2
at __num__ days to the first ever youth olympics in singapore check out this interview of yelena isinbayeva __url__ __hashtag__singapore2010,2
at __num__ days to the 1st youth olympics check out this interview with michael phelps __url__ __hashtag__singapore2010,2
meet sophie mckinna ! ( uk ) she is on her way to the first ever summer youth olympic games __url__ __hashtag__singapore2010,3
"the youth olympic flame is lit in olympia , greece . __hashtag__singapore2010 __hashtag__youtholympics ? ?",5
"full video of the lighting ceremony in olympia , greece of the youth olympic flame __url__ __hashtag__singapore2010",2
meet the ambassadors of the youth olympic games ( video ) __url__ __hashtag__singapore2010,3
the youth olympic flame has arrived in berlin ! __hashtag__singapore2010 __hashtag__youtholympics,2
be an official photographer of the ioc at the youth olympics __num__ days left in this contest __url__ __hashtag__singapore2010 __hashtag__flickr,3
the youth olympic flame is in mexico city __url__ __hashtag__singapore2010 __hashtag__youtholympics,2
